ID,target
ID_263861241254267278,0
ID_253607258240267278,0
ID_248459265311267278,0
ID_258351279506267278,0
ID_262673283885267278,0
ID_255035272552267278,0
ID_247952227943251804,0
ID_261535242215267278,0
ID_254338250397267278,0
ID_310980371210251804,0
ID_264422221571267278,0
ID_266683234074267278,0
ID_270766301840267278,0
ID_254613216296267278,0
ID_297596365269296542,0
ID_296735364833297183,0
ID_246549133718251804,0
ID_254227233763267278,0
ID_259285225044267278,0
ID_295616365042296542,0
ID_251897214940267278,0
ID_296423363038245684,0
ID_248847264702267278,0
ID_256752272331267278,0
ID_248732230155267278,0
ID_296992364438296542,0
ID_249475224624267278,0
ID_251493242649267278,0
ID_267330228444267278,0
ID_298458365339297182,0
ID_269704301021267278,0
ID_239531266877267278,0
ID_243318222048267278,0
ID_255991218962267278,0
ID_257604250578267278,0
ID_254227232157267278,0
ID_253829284216267278,0
ID_264515287735267278,0
ID_248258232775267278,0
ID_272225299115251804,0
ID_296701364552296542,0
ID_257446232001267278,0
ID_247289224351267278,0
ID_249679225316267278,0
ID_249279231951267278,0
ID_255060301895267278,0
ID_296560364417297182,0
ID_247613274103267278,0
ID_272380360742267278,0
ID_263861253431267278,0
ID_262112260458267278,0
ID_296448363776296542,0
ID_259015286567267278,0
ID_262000296126267278,0
ID_250775287362267278,0
ID_296406363992297183,0
ID_296794363618296540,0
ID_244881290117267278,0
ID_254458232773267278,0
ID_259492217940267278,0
ID_244720217988267278,0
ID_257486241355267278,0
ID_296317364068296542,0
ID_242329269266267278,0
ID_256054273634267278,0
ID_253461237983267278,0
ID_258983286606267278,0
ID_258187130310245684,0
ID_260080300241267278,0
ID_246100297044267278,0
ID_251137227456267278,0
ID_259587272611267278,0
ID_251756231482267278,0
ID_249649189781267278,0
ID_250060238606267278,0
ID_297839364617296542,0
ID_257301245458267278,0
ID_296884364282297183,0
ID_297945364836296542,0
ID_297272364432296542,0
ID_248702234145267278,0
ID_266237280230267278,0
ID_258741274517267278,0
ID_254600245392267278,0
ID_255211266807267278,0
ID_263518229749267278,0
ID_240565306146267278,0
ID_262362299190267278,0
ID_244905243084267278,0
ID_255429288801267278,0
ID_241856298674267278,0
ID_239707233101267278,0
ID_255356295051267278,0
ID_260454300319267278,0
ID_268637277181267278,0
ID_259588303316267278,0
ID_308465368123251804,0
ID_297247364114296542,0
ID_256830247767267278,0
ID_259757241314267278,0
ID_296448364977296542,0
ID_248553122959245684,0
ID_267681266336267278,0
ID_255663268720267278,0
ID_266419221125267278,0
ID_248895270994267278,0
ID_241748241572267278,0
ID_261288268913267278,0
ID_269503256600267278,0
ID_311191374424251804,0
ID_262582300242267278,0
ID_267254239011267278,0
ID_252807299279267278,0
ID_268529271630267278,0
ID_257901257596267278,0
ID_8454260948267278,0
ID_270684287155251804,0
ID_296745363971297183,0
ID_296317365075297183,0
ID_296856364583296542,0
ID_239456256921267278,0
ID_262889231926267278,0
ID_248300232064267278,0
ID_240565357557267278,0
ID_298403365280297183,0
ID_296416363036245684,0
ID_247056240407267278,0
ID_256975302666267278,0
ID_297147364677297183,0
ID_296748363561245684,0
ID_239324299317267278,0
ID_263736236177267278,0
ID_249418230327267278,0
ID_12897276637267278,0
ID_246604229621267278,0
ID_295726363706296542,0
ID_243281296346267278,0
ID_256503245104267278,0
ID_259528260555267278,0
ID_297897364907297183,0
ID_297773365191296540,0
ID_297295365036296542,0
ID_262522230696267278,0
ID_258054231872267278,0
ID_248641202951267278,0
ID_251635283174267278,0
ID_263318273581267278,0
ID_258972239822267278,0
ID_258024296236267278,0
ID_250144245902267278,0
ID_296448364884296542,0
ID_259749261318267278,0
ID_262733275825267278,0
ID_245702234353267278,0
ID_297767364424245684,0
ID_271286286877267278,0
ID_296718364299296542,0
ID_261669301624267278,0
ID_255060284683267278,0
ID_266419241994267278,0
ID_308989369845251804,0
ID_241867292964267278,0
ID_249220297581267278,0
ID_247842228711267278,0
ID_248687293126267278,0
ID_297475364185297183,0
ID_262557249361267278,0
ID_296288363660296542,0
ID_253291265689267278,0
ID_241751231958267278,0
ID_297952364800297182,0
ID_268943267562267278,0
ID_247075237866251804,0
ID_296703363623296542,0
ID_295711363489245684,0
ID_244108217064267278,0
ID_297822365150297183,0
ID_260840226818267278,0
ID_243411305836267278,0
ID_256377266866267278,0
ID_260055219009267278,0
ID_251200260897267278,0
ID_249151224060267278,0
ID_250982299530267278,0
ID_296317364507296542,0
ID_296853363649245684,0
ID_268757281379267278,0
ID_247624273505267278,0
ID_246705265292267278,0
ID_252492235862267278,0
ID_273553359965267278,0
ID_257045279090267278,0
ID_242876287599267278,0
ID_239267280875251804,0
ID_247340275682267278,0
ID_246740220897267278,0
ID_260969237590267278,0
ID_57484265919267278,0
ID_296255365246297182,0
ID_248011221943267278,0
ID_250786286185267278,0
ID_256443243270267278,0
ID_260451215356267278,0
ID_244881280764267278,0
ID_308486373354251804,0
ID_263235237832267278,0
ID_261568236541267278,0
ID_266806279036267278,0
ID_247838288176251804,0
ID_261930284336267278,0
ID_249194372339251804,0
ID_264617297387267278,0
ID_269332360574251804,0
ID_251513288190267278,0
ID_242748246549267278,0
ID_252708253811267278,0
ID_247613253660267278,0
ID_264504258752267278,0
ID_268400256757267278,0
ID_296338364883296542,0
ID_247487215462267278,0
ID_266879218699267278,0
ID_243775256027267278,0
ID_252775261805267278,0
ID_261318254342267278,0
ID_249294225116267278,0
ID_248952275052267278,0
ID_253350268970267278,0
ID_250246255480267278,0
ID_270139299486267278,0
ID_248850281845267278,0
ID_296562363960297183,0
ID_244151261977267278,0
ID_243068219826267278,0
